,TRADEDATE,CASH_VALUE,STOCK_VALUE,TOTAL_ASSET,NAV
1456,2018-12-26,0.0,12886.8,12886.8,1.2887
1457,2018-12-27,0.0,12883.66,12883.66,1.2884
1458,2018-12-28,0.0,12910.18,12910.18,1.291
1459,2019-01-02,0.0,12923.61,12923.61,1.2924
1460,2019-01-03,0.0,12962.9,12962.9,1.2963
1461,2019-01-04,0.0,13110.65,13110.65,1.3111
1462,2019-01-07,0.0,13450.7,13450.7,1.3451
1463,2019-01-08,0.0,13470.53,13470.53,1.3471
1464,2019-01-09,0.0,13599.77,13599.77,1.36
1465,2019-01-10,0.0,13682.73,13682.73,1.3683
1466,2019-01-11,0.0,13784.35,13784.35,1.3784
1467,2019-01-14,0.0,13765.22,13765.22,1.3765
1468,2019-01-15,0.0,13854.63,13854.63,1.3855
1469,2019-01-16,0.0,13909.62,13909.62,1.391
1470,2019-01-17,0.0,13856.77,13856.77,1.3857
1471,2019-01-18,0.0,13811.6,13811.6,1.3812
1472,2019-01-21,0.0,13868.26,13868.26,1.3868
1473,2019-01-22,0.0,13778.33,13778.33,1.3778
1474,2019-01-23,0.0,13776.71,13776.71,1.3777
1475,2019-01-24,0.0,13839.25,13839.25,1.3839
1476,2019-01-25,0.0,13804.75,13804.75,1.3805
1477,2019-01-28,0.0,13694.06,13694.06,1.3694
1478,2019-01-29,0.0,13574.31,13574.31,1.3574
1479,2019-01-30,0.0,13528.57,13528.57,1.3529
1480,2019-01-31,0.0,13462.07,13462.07,1.3462
1481,2019-02-01,0.0,13653.09,13653.09,1.3653
1482,2019-02-11,0.0,13838.77,13838.77,1.3839
1483,2019-02-12,0.0,13912.17,13912.17,1.3912
1484,2019-02-13,0.0,14065.47,14065.47,1.4065
1485,2019-02-14,0.0,14133.43,14133.43,1.4133
1486,2019-02-15,0.0,14142.27,14142.27,1.4142
1487,2019-02-18,0.0,14494.83,14494.83,1.4495
1488,2019-02-19,0.0,14489.5,14489.5,1.449
1489,2019-02-20,0.0,14694.55,14694.55,1.4695
1490,2019-02-21,0.0,14794.84,14794.84,1.4795
1491,2019-02-22,0.0,15044.33,15044.33,1.5044
1492,2019-02-25,0.0,15741.97,15741.97,1.5742
1493,2019-02-26,0.0,15394.24,15394.24,1.5394
1494,2019-02-27,0.0,15427.84,15427.84,1.5428
1495,2019-02-28,0.0,15519.51,15519.51,1.552
1496,2019-03-01,0.0,15479.06,15479.06,1.5479
1497,2019-03-04,0.0,15682.26,15682.26,1.5682
1498,2019-03-05,0.0,16118.89,16118.89,1.6119
1499,2019-03-06,0.0,16527.85,16527.85,1.6528
1500,2019-03-07,0.0,16813.25,16813.25,1.6813
1501,2019-03-08,0.0,16493.23,16493.23,1.6493
1502,2019-03-11,0.0,16864.87,16864.87,1.6865
1503,2019-03-12,0.0,17046.18,17046.18,1.7046
1504,2019-03-13,0.0,16798.32,16798.32,1.6798
1505,2019-03-14,0.0,16459.42,16459.42,1.6459
1506,2019-03-15,0.0,16620.97,16620.97,1.6621
1507,2019-03-18,0.0,16985.92,16985.92,1.6986
1508,2019-03-19,0.0,17272.26,17272.26,1.7272
1509,2019-03-20,0.0,17311.65,17311.65,1.7312
1510,2019-03-21,0.0,17489.33,17489.33,1.7489
1511,2019-03-22,0.0,17409.17,17409.17,1.7409
1512,2019-03-25,0.0,17229.93,17229.93,1.723
1513,2019-03-26,0.0,16796.05,16796.05,1.6796
1514,2019-03-27,0.0,16814.12,16814.12,1.6814
1515,2019-03-28,0.0,16780.13,16780.13,1.678
1516,2019-03-29,0.0,17078.9,17078.9,1.7079
1517,2019-04-01,0.0,17472.92,17472.92,1.7473
1518,2019-04-02,0.0,17585.96,17585.96,1.7586
1519,2019-04-03,0.0,17728.75,17728.75,1.7729
1520,2019-04-04,0.0,17893.32,17893.32,1.7893
1521,2019-04-08,0.0,18137.06,18137.06,1.8137
1522,2019-04-09,0.0,17876.42,17876.42,1.7876
1523,2019-04-10,0.0,17731.79,17731.79,1.7732
1524,2019-04-11,0.0,17490.07,17490.07,1.749
1525,2019-04-12,0.0,17580.06,17580.06,1.758
1526,2019-04-15,0.0,17369.33,17369.33,1.7369
1527,2019-04-16,0.0,17435.91,17435.91,1.7436
1528,2019-04-17,0.0,17495.59,17495.59,1.7496
1529,2019-04-18,0.0,17596.99,17596.99,1.7597
1530,2019-04-19,0.0,17545.0,17545.0,1.7545
1531,2019-04-22,0.0,17717.15,17717.15,1.7717
1532,2019-04-23,0.0,17237.69,17237.69,1.7238
1533,2019-04-24,0.0,17100.6,17100.6,1.7101
1534,2019-04-25,0.0,17171.17,17171.17,1.7171
1535,2019-04-26,0.0,17238.08,17238.08,1.7238
1536,2019-04-29,0.0,16870.45,16870.45,1.687
1537,2019-04-30,0.0,17009.15,17009.15,1.7009
1538,2019-05-06,0.0,16521.66,16521.66,1.6522
1539,2019-05-07,0.0,16362.5,16362.5,1.6362
1540,2019-05-08,0.0,16369.88,16369.88,1.637
1541,2019-05-09,0.0,16449.97,16449.97,1.645
1542,2019-05-10,0.0,16776.57,16776.57,1.6777
1543,2019-05-13,0.0,16699.8,16699.8,1.67
1544,2019-05-14,0.0,16726.54,16726.54,1.6727
1545,2019-05-15,0.0,17047.36,17047.36,1.7047
1546,2019-05-16,0.0,17130.54,17130.54,1.7131
1547,2019-05-17,0.0,16684.29,16684.29,1.6684
1548,2019-05-20,0.0,16554.26,16554.26,1.6554
1549,2019-05-21,0.0,16657.71,16657.71,1.6658
1550,2019-05-22,0.0,16656.64,16656.64,1.6657
1551,2019-05-23,0.0,16535.85,16535.85,1.6536
1552,2019-05-24,0.0,16509.57,16509.57,1.651
1553,2019-05-27,0.0,16612.83,16612.83,1.6613
1554,2019-05-28,0.0,16620.04,16620.04,1.662
1555,2019-05-29,0.0,16628.97,16628.97,1.6629
1556,2019-05-30,0.0,16578.12,16578.12,1.6578
1557,2019-05-31,0.0,16522.82,16522.82,1.6523
1558,2019-06-03,0.0,16314.76,16314.76,1.6315
1559,2019-06-04,0.0,16191.78,16191.78,1.6192
1560,2019-06-05,0.0,16160.86,16160.86,1.6161
1561,2019-06-06,0.0,16014.36,16014.36,1.6014
1562,2019-06-10,0.0,16076.06,16076.06,1.6076
1563,2019-06-11,0.0,16516.84,16516.84,1.6517
1564,2019-06-12,0.0,16408.64,16408.64,1.6409
1565,2019-06-13,0.0,16423.57,16423.57,1.6424
1566,2019-06-14,0.0,16288.41,16288.41,1.6288
1567,2019-06-17,0.0,16256.42,16256.42,1.6256
1568,2019-06-18,0.0,16225.75,16225.75,1.6226
1569,2019-06-19,0.0,16346.13,16346.13,1.6346
1570,2019-06-20,0.0,16590.58,16590.58,1.6591
1571,2019-06-21,0.0,16795.65,16795.65,1.6796
1572,2019-06-24,0.0,16810.17,16810.17,1.681
1573,2019-06-25,0.0,16675.87,16675.87,1.6676
1574,2019-06-26,0.0,16730.0,16730.0,1.673
1575,2019-06-27,0.0,16788.57,16788.57,1.6789
1576,2019-06-28,0.0,16936.55,16936.55,1.6937
1577,2019-07-01,0.0,17358.91,17358.91,1.7359
1578,2019-07-02,0.0,17294.99,17294.99,1.7295
1579,2019-07-03,0.0,17149.67,17149.67,1.715
1580,2019-07-04,0.0,17282.36,17282.36,1.7282
1581,2019-07-05,0.0,17123.62,17123.62,1.7124
1582,2019-07-08,0.0,16953.4,16953.4,1.6953
1583,2019-07-09,0.0,16919.77,16919.77,1.692
1584,2019-07-10,0.0,16881.48,16881.48,1.6881
1585,2019-07-11,0.0,16893.02,16893.02,1.6893
1586,2019-07-12,0.0,16928.13,16928.13,1.6928
1587,2019-07-15,0.0,16958.25,16958.25,1.6958
1588,2019-07-16,0.0,16948.6,16948.6,1.6949
1589,2019-07-17,0.0,16983.08,16983.08,1.6983
1590,2019-07-18,0.0,16865.47,16865.47,1.6865
1591,2019-07-19,0.0,16884.25,16884.25,1.6884
1592,2019-07-22,0.0,16732.49,16732.49,1.6732
