,TRADEDATE,CASH_VALUE,STOCK_VALUE,TOTAL_ASSET,NAV
785,2016-03-30,0.0,16279.03,16279.03,1.6279
786,2016-03-31,0.0,16270.97,16270.97,1.6271
787,2016-04-01,0.0,16280.4,16280.4,1.628
788,2016-04-05,0.0,16306.76,16306.76,1.6307
789,2016-04-06,0.0,16303.46,16303.46,1.6303
790,2016-04-07,0.0,16290.38,16290.38,1.629
791,2016-04-08,0.0,16273.49,16273.49,1.6273
792,2016-04-11,0.0,16287.8,16287.8,1.6288
793,2016-04-12,0.0,16286.95,16286.95,1.6287
794,2016-04-13,0.0,16304.94,16304.94,1.6305
795,2016-04-14,0.0,16299.96,16299.96,1.63
796,2016-04-15,0.0,15310.84,15310.84,1.5311
797,2016-04-18,0.0,15123.46,15123.46,1.5123
798,2016-04-19,0.0,15192.86,15192.86,1.5193
799,2016-04-20,0.0,15023.71,15023.71,1.5024
800,2016-04-21,0.0,14833.46,14833.46,1.4833
801,2016-04-22,0.0,14783.09,14783.09,1.4783
802,2016-04-25,0.0,14607.5,14607.5,1.4608
803,2016-04-26,0.0,14604.23,14604.23,1.4604
804,2016-04-27,0.0,14591.82,14591.82,1.4592
805,2016-04-28,0.0,14281.0,14281.0,1.4281
806,2016-04-29,0.0,14231.24,14231.24,1.4231
807,2016-05-03,0.0,14447.02,14447.02,1.4447
808,2016-05-04,0.0,14511.68,14511.68,1.4512
809,2016-05-05,0.0,14476.51,14476.51,1.4477
810,2016-05-06,0.0,14315.0,14315.0,1.4315
811,2016-05-09,0.0,14274.71,14274.71,1.4275
812,2016-05-10,0.0,14326.87,14326.87,1.4327
813,2016-05-11,0.0,14278.13,14278.13,1.4278
814,2016-05-12,0.0,14266.24,14266.24,1.4266
815,2016-05-13,0.0,14225.41,14225.41,1.4225
816,2016-05-16,0.0,14230.43,14230.43,1.423
817,2016-05-17,0.0,14194.04,14194.04,1.4194
818,2016-05-18,0.0,14130.04,14130.04,1.413
819,2016-05-19,0.0,14062.96,14062.96,1.4063
820,2016-05-20,0.0,13993.08,13993.08,1.3993
821,2016-05-23,0.0,14000.32,14000.32,1.4
822,2016-05-24,0.0,14003.74,14003.74,1.4004
823,2016-05-25,0.0,13980.76,13980.76,1.3981
824,2016-05-26,0.0,13983.24,13983.24,1.3983
825,2016-05-27,0.0,13957.46,13957.46,1.3957
826,2016-05-30,0.0,13958.52,13958.52,1.3959
827,2016-05-31,0.0,14094.59,14094.59,1.4095
828,2016-06-01,0.0,14163.94,14163.94,1.4164
829,2016-06-02,0.0,14127.82,14127.82,1.4128
830,2016-06-03,0.0,14157.28,14157.28,1.4157
831,2016-06-06,0.0,14123.3,14123.3,1.4123
832,2016-06-07,0.0,13963.82,13963.82,1.3964
833,2016-06-08,0.0,13955.61,13955.61,1.3956
834,2016-06-13,0.0,13875.95,13875.95,1.3876
835,2016-06-14,0.0,13888.39,13888.39,1.3888
836,2016-06-15,0.0,13900.72,13900.72,1.3901
837,2016-06-16,0.0,13885.42,13885.42,1.3885
838,2016-06-17,0.0,13876.29,13876.29,1.3876
839,2016-06-20,0.0,13889.25,13889.25,1.3889
840,2016-06-21,0.0,13921.4,13921.4,1.3921
841,2016-06-22,0.0,13934.77,13934.77,1.3935
842,2016-06-23,0.0,13992.9,13992.9,1.3993
843,2016-06-24,0.0,13975.9,13975.9,1.3976
844,2016-06-27,0.0,13973.0,13973.0,1.3973
845,2016-06-28,0.0,13983.63,13983.63,1.3984
846,2016-06-29,0.0,14002.47,14002.47,1.4002
847,2016-06-30,0.0,14010.55,14010.55,1.4011
848,2016-07-01,0.0,14048.59,14048.59,1.4049
849,2016-07-04,0.0,14235.31,14235.31,1.4235
850,2016-07-05,0.0,14328.44,14328.44,1.4328
851,2016-07-06,0.0,14347.84,14347.84,1.4348
852,2016-07-07,0.0,14307.14,14307.14,1.4307
853,2016-07-08,0.0,14246.77,14246.77,1.4247
854,2016-07-11,0.0,14248.51,14248.51,1.4249
855,2016-07-12,0.0,14233.1,14233.1,1.4233
856,2016-07-13,0.0,14387.0,14387.0,1.4387
857,2016-07-14,0.0,14435.11,14435.11,1.4435
858,2016-07-15,0.0,14469.26,14469.26,1.4469
859,2016-07-18,0.0,14468.7,14468.7,1.4469
860,2016-07-19,0.0,14389.83,14389.83,1.439
861,2016-07-20,0.0,14300.26,14300.26,1.43
862,2016-07-21,0.0,14252.26,14252.26,1.4252
863,2016-07-22,0.0,14250.83,14250.83,1.4251
864,2016-07-25,0.0,14239.47,14239.47,1.4239
865,2016-07-26,0.0,14245.74,14245.74,1.4246
866,2016-07-27,0.0,14135.61,14135.61,1.4136
867,2016-07-28,0.0,14115.04,14115.04,1.4115
868,2016-07-29,0.0,13923.55,13923.55,1.3924
869,2016-08-01,0.0,13934.99,13934.99,1.3935
870,2016-08-02,0.0,14004.08,14004.08,1.4004
871,2016-08-03,0.0,14010.32,14010.32,1.401
872,2016-08-04,0.0,14037.01,14037.01,1.4037
873,2016-08-05,0.0,14057.49,14057.49,1.4057
874,2016-08-08,0.0,14079.4,14079.4,1.4079
875,2016-08-09,0.0,14113.44,14113.44,1.4113
876,2016-08-10,0.0,14115.83,14115.83,1.4116
877,2016-08-11,0.0,14120.29,14120.29,1.412
878,2016-08-12,0.0,14130.12,14130.12,1.413
879,2016-08-15,0.0,14435.37,14435.37,1.4435
880,2016-08-16,0.0,14439.04,14439.04,1.4439
881,2016-08-17,0.0,14395.6,14395.6,1.4396
882,2016-08-18,0.0,14423.6,14423.6,1.4424
883,2016-08-19,0.0,14380.71,14380.71,1.4381
884,2016-08-22,0.0,14361.69,14361.69,1.4362
885,2016-08-23,0.0,14321.34,14321.34,1.4321
886,2016-08-24,0.0,14286.97,14286.97,1.4287
887,2016-08-25,0.0,14161.31,14161.31,1.4161
888,2016-08-26,0.0,14162.91,14162.91,1.4163
889,2016-08-29,0.0,14142.23,14142.23,1.4142
890,2016-08-30,0.0,14132.51,14132.51,1.4133
891,2016-08-31,0.0,14149.57,14149.57,1.415
892,2016-09-01,0.0,14160.76,14160.76,1.4161
893,2016-09-02,0.0,14179.08,14179.08,1.4179
894,2016-09-05,0.0,14190.22,14190.22,1.419
895,2016-09-06,0.0,14254.6,14254.6,1.4255
896,2016-09-07,0.0,14303.02,14303.02,1.4303
897,2016-09-08,0.0,14304.22,14304.22,1.4304
898,2016-09-09,0.0,14310.07,14310.07,1.431
899,2016-09-12,0.0,14238.47,14238.47,1.4238
900,2016-09-13,0.0,14222.13,14222.13,1.4222
901,2016-09-14,0.0,14238.01,14238.01,1.4238
902,2016-09-19,0.0,14211.37,14211.37,1.4211
903,2016-09-20,0.0,14224.2,14224.2,1.4224
904,2016-09-21,0.0,14227.65,14227.65,1.4228
905,2016-09-22,0.0,14245.61,14245.61,1.4246
906,2016-09-23,0.0,14275.34,14275.34,1.4275
907,2016-09-26,0.0,14221.4,14221.4,1.4221
908,2016-09-27,0.0,14254.72,14254.72,1.4255
909,2016-09-28,0.0,14269.86,14269.86,1.427
910,2016-09-29,0.0,14277.21,14277.21,1.4277
911,2016-09-30,0.0,14306.71,14306.71,1.4307
912,2016-10-10,0.0,14288.75,14288.75,1.4289
913,2016-10-11,0.0,14311.26,14311.26,1.4311
914,2016-10-12,0.0,14304.36,14304.36,1.4304
915,2016-10-13,0.0,14300.42,14300.42,1.43
916,2016-10-14,0.0,14316.48,14316.48,1.4316
917,2016-10-17,0.0,14339.23,14339.23,1.4339
918,2016-10-18,0.0,14405.45,14405.45,1.4405
919,2016-10-19,0.0,14458.27,14458.27,1.4458
920,2016-10-20,0.0,14456.32,14456.32,1.4456
921,2016-10-21,0.0,14457.67,14457.67,1.4458
922,2016-10-24,0.0,14495.94,14495.94,1.4496
923,2016-10-25,0.0,14442.89,14442.89,1.4443
924,2016-10-26,0.0,14425.58,14425.58,1.4426
925,2016-10-27,0.0,14369.11,14369.11,1.4369
926,2016-10-28,0.0,14413.64,14413.64,1.4414
927,2016-10-31,0.0,14411.47,14411.47,1.4411
928,2016-11-01,0.0,14419.65,14419.65,1.442
929,2016-11-02,0.0,14423.61,14423.61,1.4424
930,2016-11-03,0.0,14440.63,14440.63,1.4441
931,2016-11-04,0.0,14408.4,14408.4,1.4408
932,2016-11-07,0.0,14413.76,14413.76,1.4414
933,2016-11-08,0.0,14460.24,14460.24,1.446
934,2016-11-09,0.0,14460.17,14460.17,1.446
935,2016-11-10,0.0,14463.38,14463.38,1.4463
936,2016-11-11,0.0,14530.45,14530.45,1.453
937,2016-11-14,0.0,14610.7,14610.7,1.4611
938,2016-11-15,0.0,14611.96,14611.96,1.4612
939,2016-11-16,0.0,14607.09,14607.09,1.4607
940,2016-11-17,0.0,14578.66,14578.66,1.4579
941,2016-11-18,0.0,14581.59,14581.59,1.4582
942,2016-11-21,0.0,14582.85,14582.85,1.4583
943,2016-11-22,0.0,14625.47,14625.47,1.4625
944,2016-11-23,0.0,14669.68,14669.68,1.467
945,2016-11-24,0.0,14697.93,14697.93,1.4698
946,2016-11-25,0.0,14759.66,14759.66,1.476
947,2016-11-28,0.0,14775.6,14775.6,1.4776
948,2016-11-29,0.0,14702.7,14702.7,1.4703
949,2016-11-30,0.0,14539.46,14539.46,1.4539
950,2016-12-01,0.0,14459.69,14459.69,1.446
951,2016-12-02,0.0,14379.0,14379.0,1.4379
952,2016-12-05,0.0,14230.44,14230.44,1.423
953,2016-12-06,0.0,14235.89,14235.89,1.4236
954,2016-12-07,0.0,14326.23,14326.23,1.4326
955,2016-12-08,0.0,14341.45,14341.45,1.4341
956,2016-12-09,0.0,14322.57,14322.57,1.4323
957,2016-12-12,0.0,14175.04,14175.04,1.4175
958,2016-12-13,0.0,14079.06,14079.06,1.4079
959,2016-12-14,0.0,14031.14,14031.14,1.4031
960,2016-12-15,0.0,13831.04,13831.04,1.3831
961,2016-12-16,0.0,13826.59,13826.59,1.3827
962,2016-12-19,0.0,13734.59,13734.59,1.3735
963,2016-12-20,0.0,13479.67,13479.67,1.348
964,2016-12-21,0.0,13577.82,13577.82,1.3578
965,2016-12-22,0.0,13680.15,13680.15,1.368
966,2016-12-23,0.0,13752.5,13752.5,1.3752
967,2016-12-26,0.0,13739.01,13739.01,1.3739
968,2016-12-27,0.0,13840.31,13840.31,1.384
969,2016-12-28,0.0,13781.12,13781.12,1.3781
970,2016-12-29,0.0,13803.51,13803.51,1.3804
971,2016-12-30,0.0,13828.71,13828.71,1.3829
972,2017-01-03,0.0,13798.88,13798.88,1.3799
973,2017-01-04,0.0,13817.66,13817.66,1.3818
974,2017-01-05,0.0,13824.57,13824.57,1.3825
975,2017-01-06,0.0,13825.75,13825.75,1.3826
976,2017-01-09,0.0,13836.43,13836.43,1.3836
977,2017-01-10,0.0,13781.38,13781.38,1.3781
978,2017-01-11,0.0,13753.55,13753.55,1.3754
979,2017-01-12,0.0,13726.63,13726.63,1.3727
980,2017-01-13,0.0,13725.47,13725.47,1.3725
981,2017-01-16,0.0,13661.32,13661.32,1.3661
982,2017-01-17,0.0,13636.68,13636.68,1.3637
983,2017-01-18,0.0,13601.04,13601.04,1.3601
984,2017-01-19,0.0,13605.25,13605.25,1.3605
985,2017-01-20,0.0,13658.8,13658.8,1.3659
986,2017-01-23,0.0,13656.8,13656.8,1.3657
987,2017-01-24,0.0,13628.6,13628.6,1.3629
988,2017-01-25,0.0,13690.7,13690.7,1.3691
989,2017-01-26,0.0,13706.49,13706.49,1.3706
990,2017-02-03,0.0,13672.6,13672.6,1.3673
991,2017-02-06,0.0,13673.48,13673.48,1.3673
992,2017-02-07,0.0,13665.89,13665.89,1.3666
993,2017-02-08,0.0,13663.39,13663.39,1.3663
994,2017-02-09,0.0,13665.96,13665.96,1.3666
995,2017-02-10,0.0,13679.64,13679.64,1.368
996,2017-02-13,0.0,13719.58,13719.58,1.372
997,2017-02-14,0.0,13705.73,13705.73,1.3706
998,2017-02-15,0.0,13699.38,13699.38,1.3699
999,2017-02-16,0.0,13694.94,13694.94,1.3695
1000,2017-02-17,0.0,13638.94,13638.94,1.3639
1001,2017-02-20,0.0,13650.37,13650.37,1.365
1002,2017-02-21,0.0,13639.09,13639.09,1.3639
1003,2017-02-22,0.0,13642.36,13642.36,1.3642
1004,2017-02-23,0.0,13664.45,13664.45,1.3664
1005,2017-02-24,0.0,13664.54,13664.54,1.3665
1006,2017-02-27,0.0,13680.27,13680.27,1.368
1007,2017-02-28,0.0,13659.4,13659.4,1.3659
1008,2017-03-01,0.0,13641.19,13641.19,1.3641
1009,2017-03-02,0.0,13626.99,13626.99,1.3627
1010,2017-03-03,0.0,13641.22,13641.22,1.3641
1011,2017-03-06,0.0,13644.53,13644.53,1.3645
1012,2017-03-07,0.0,13664.53,13664.53,1.3665
1013,2017-03-08,0.0,13616.23,13616.23,1.3616
1014,2017-03-09,0.0,13602.22,13602.22,1.3602
1015,2017-03-10,0.0,13604.06,13604.06,1.3604
1016,2017-03-13,0.0,13607.23,13607.23,1.3607
1017,2017-03-14,0.0,13604.66,13604.66,1.3605
1018,2017-03-15,0.0,13603.93,13603.93,1.3604
1019,2017-03-16,0.0,13602.49,13602.49,1.3602
1020,2017-03-17,0.0,13526.31,13526.31,1.3526
1021,2017-03-20,0.0,13513.99,13513.99,1.3514
